,code,update_time,last_price,prev_close_price,suspension,circular_market_val,total_market_val,wrt_maturity_date,wrt_end_trade,wrt_code,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,lot_size,net_profit,earning_per_share,outstanding_shares,net_asset_per_share,pe_ratio,pb_ratio,price_spread,name
277,SH.600853,2018-06-05 14:01:53,4.31,4.29,False,2313641005.98,2776362605.9799995,,,,,,,,,,,100,139140214.128,0.216,536807658,-2.119967296,19.953,1.981,0.01,龙建股份
278,SH.600854,2018-06-05 14:02:08,4.71,4.73,False,2446649713.98,2446649713.98,,,,,,,,,,,100,51426395.262,0.099,519458538,-0.486967296,47.575,1.236,0.01,春兰股份
282,SH.600858,2018-06-05 14:02:02,7.25,7.24,False,3752223210.25,3770482770.25,,,,,,,,,,,100,76969855.172,0.148,517548029,1.633032704,48.986,1.223,0.01,银座股份
283,SH.600859,2018-06-05 14:02:08,25.01,24.35,False,7633256856.910001,19414021253.5,,,,,,,,,,,100,1174466779.55,1.513,305208191,0.626098112,16.53,1.851,0.01,王府井
284,SH.600861,2018-06-05 14:02:05,8.41,8.41,False,2664329621.09,2664329621.09,,,,,,,,,,,100,69380283.831,0.219,316804949,-1.161934592,38.401,1.132,0.01,北京城乡
286,SH.600863,2018-06-05 14:02:08,2.55,2.55,False,14809749749.999998,14809749749.999998,,,,,,,,,,,100,685313910.0,0.118,5807745000,1.762,21.61,1.447,0.01,内蒙华电
287,SH.600864,2018-06-05 14:01:41,5.13,5.08,False,8096768020.889999,10816675599.06,,,,,,,,,,,100,282540844.108,0.134,1578317353,2.068032704,38.283,0.806,0.01,哈投股份
288,SH.600865,2018-06-05 14:02:08,7.2,7.14,False,2708930275.2000003,2708930275.2000003,,,,,,,,,,,100,63584613.404,0.169,376240316,0.269032704,42.603,1.577,0.01,百大集团
291,SH.600868,2018-06-05 14:02:05,3.88,3.87,False,7364816874.5199995,7364816874.5199995,,,,,,,,,,,100,110092623.382,0.058,1898148679,1.215,66.896,3.193,0.01,梅雁吉祥
294,SH.600873,2018-06-05 14:02:08,4.71,4.71,False,14639747300.13,14639747300.13,,,,,,,,,,,100,1081662857.844,0.348,3108226603,-1.285967296,13.534,1.565,0.01,梅花生物
